,tokenization time,inference time
0,0.7736382251605392,16.066418323200196
1,0.7248814702033997,14.052770721260458
2,0.760797634255141,13.547699052840471
3,0.7393185668624938,12.783577999100089
4,0.8032027198933065,13.526346954982728
5,0.8227003631182015,15.551257683895528
6,0.7467558970674872,13.523806521203369
7,0.7800570707768202,14.042822482064366
8,0.7850300497375429,13.571587052661926
9,0.7727767149917781,13.487820685841143
10,0.8429646119475365,12.410099666099995
11,0.8029397120699286,13.366096273064613
12,0.8024071860127151,13.319101518020034
13,0.7487509921193123,12.902197086717933
14,0.9036190928891301,12.70927107706666
15,0.8271228959783912,12.522804754786193
16,0.8140910281799734,13.017971684690565
17,0.8238152759149671,12.641639243811369
18,0.8435387727804482,12.956094739027321
19,0.9740747767500579,13.092815294861794
20,0.8046241528354585,13.454609940759838
